obs,tipo,fecha,track,comercial,descarte,total,year,viaje,lance,mes,dia
SB,Pesca de Merluza,2015-01-28T00:00:00Z,NA,7785,1000,8785,2015,NA,NA,1,28
SB,Pesca de Merluza,2015-01-29T00:00:00Z,NA,8390,500,8890,2015,NA,NA,1,29
SB,Pesca de Merluza,2015-01-29T00:00:00Z,NA,1000,100,1100,2015,NA,NA,1,29
SB,Pesca de Merluza,2015-01-30T00:00:00Z,NA,519,235.6067506027324,754.6067506027324,2015,NA,NA,1,30
SB,Pesca de Merluza,2015-01-30T00:00:00Z,NA,3700,NA,3700,2015,NA,NA,1,30
SB,Pesca de Merluza,2015-01-31T00:00:00Z,NA,3500,NA,3500,2015,NA,NA,1,31
DC,Pesca de Merluza,2015-01-25T00:00:00Z,NA,15000,600,15600,2015,NA,NA,1,25
DC,Pesca de Merluza,2015-01-26T00:00:00Z,NA,7000,NA,7000,2015,NA,NA,1,26
AL,Pesca de Merluza,2015-01-26T00:00:00Z,26012015/AL/2,800,150,950,2015,NA,NA,1,26
AL,Pesca de Merluza,2015-01-26T00:00:00Z,26012015/AL/3,400,255,655,2015,NA,NA,1,26
AL,Pesca de Merluza,2015-01-27T00:00:00Z,27012015/AL/1,250,120,370,2015,NA,NA,1,27
RR,Pesca de Merluza,2015-01-26T00:00:00Z,26012015/rr/02,9000,NA,9000,2015,NA,NA,1,26
RR,Pesca de Merluza,2015-01-27T00:00:00Z,27012015/rr/01,5000,NA,5000,2015,NA,NA,1,27
AL,Pesca de Merluza,2015-02-04T00:00:00Z,04022015/AL/1,12000,700,12700,2015,NA,NA,2,4
AL,Pesca de Merluza,2015-02-04T00:00:00Z,04022015/AL/2,2500,2500,5000,2015,NA,NA,2,4
AL,Pesca de Merluza,2015-02-05T00:00:00Z,05022015/AL/3,2500,100,2600,2015,NA,NA,2,5
AL,Pesca de Merluza,2015-02-05T00:00:00Z,05022015/AL/4,4000,270,4270,2015,NA,NA,2,5
AL,Pesca de Merluza,2015-02-05T00:00:00Z,05022015/AL/5,3000,250,3250,2015,NA,NA,2,5
AL,Pesca de Merluza,2015-02-06T00:00:00Z,06022015/AL/6,3500,200,3700,2015,NA,NA,2,6
AL,Pesca de Merluza,2015-02-06T00:00:00Z,06022015/AL/7,2000,150,2150,2015,NA,NA,2,6
DC,Pesca de Merluza,2015-01-30T00:00:00Z,NA,7500,NA,7500,2015,NA,NA,1,30
DC,Pesca de Merluza,2015-01-30T00:00:00Z,NA,7000,50,7050,2015,NA,NA,1,30
DC,Pesca de Merluza,2015-01-30T00:00:00Z,NA,400,NA,400,2015,NA,NA,1,30
DC,Pesca de Merluza,2015-01-31T00:00:00Z,NA,13100,NA,13100,2015,NA,NA,1,31
DC,Pesca de Merluza,2015-01-31T00:00:00Z,NA,8000,30,8030,2015,NA,NA,1,31
RR,Pesca de Merluza,2015-01-26T00:00:00Z,26012015/rr/02,9000,NA,9000,2015,NA,NA,1,26
RR,Pesca de Merluza,2015-01-27T00:00:00Z,27012015/rr/01,5000,NA,5000,2015,NA,NA,1,27
RR,Pesca de Merluza,2015-02-11T00:00:00Z,11022015/RR/01,1050,NA,1050,2015,NA,NA,2,11
RR,Pesca de Merluza,2015-02-11T00:00:00Z,11022015/RR/02,140,NA,140,2015,NA,NA,2,11
RR,Pesca de Merluza,2015-02-13T00:00:00Z,13022015/RR/03,770,80,850,2015,NA,NA,2,13
RR,Pesca de Merluza,2015-02-13T00:00:00Z,13022015/RR/04,1610,NA,1610,2015,NA,NA,2,13
RR,Pesca de Merluza,2015-02-13T00:00:00Z,13022015/RR/05,1820,NA,1820,2015,NA,NA,2,13
