id,nombreactivo,clavesitiodesembarque,nombresitiodesembarque,rnpaunidadeconomica,unidadeconomica,nombreestado,claveoficina,nombreoficina,tipoaviso,folioaviso,fechaaviso,origen,clavelugarcaptura,nombrelugarcaptura,numeroembarcaciones,mescorte,yearcorte,periodoinicio,periodofin,duracion,diasefectivos,tipozona,produccionacuacultural,numeropermiso,fechaexpedicion,fechavigencia,nombreprincipal,claveespecie,nombreespecie,pesodesembarcadokilogramos,pesovivokilogramos,preciopesos,valorpesos,litoral,origenpesca
1,RICARDO ASTORGA,26B,PUERTO PEÑASCO,2603007507,PESQUERA ASTORGA SA DE CV,SONORA,2607,PUERTO PEÑASCO,MAYORES,A0321739,07/01/2018,OFICINA,9999000,ALTAMAR,0,ENERO,2018,02/01/2018,06/01/2018,5,5,NA,NA,1.26E+11,16/02/2016,16/02/2021,OTRAS,4860928H,MERLUZA DESC. Y DESV. FCA.,1000,1100,6,6000,PACIFICO,NA
1,FELIPE ANGELES,26B,PUERTO PEÑASCO,2607004070,PESQUERA RODOLFO DEL MAR SA DE CV,SONORA,2607,PUERTO PEÑASCO,MAYORES,AE000008728,09/01/2018,EN LINEA,9999000,ALTAMAR,0,ENERO,2018,01/01/2018,08/01/2018,8,7,NA,NA,1.26E+11,30/10/2017,30/10/2021,OTRAS,4860928H,MERLUZA DESC. Y DESV. FCA.,1003,1103.3,15,15045,PACIFICO,NA
1,MISTER II,26B,PUERTO PEÑASCO,2607002082,SOCIEDAD COOPERATIVA DE PRODUCCION PESQUERA ESCAMEROS Y CAMARONEROS DE PEÑASCO SCL,SONORA,2607,PUERTO PEÑASCO,MAYORES,A0321760,08/01/2018,OFICINA,9999000,ALTAMAR,0,ENERO,2018,03/01/2018,07/01/2018,5,5,NA,NA,1.26E+11,02/08/2016,02/08/2021,OTRAS,4860928H,MERLUZA DESC. Y DESV. FCA.,250,275,15,3750,PACIFICO,NA
1,M. LUZITA,26B,PUERTO PEÑASCO,2607603780,PESQUERA GILMASA SA DE CV,SONORA,2607,PUERTO PEÑASCO,MAYORES,AE000008735,09/01/2018,EN LINEA,9999000,ALTAMAR,0,ENERO,2018,04/01/2018,09/01/2018,6,5,NA,NA,1.02E+12,04/12/2017,04/12/2021,OTRAS,4860928H,MERLUZA DESC. Y DESV. FCA.,2862,3148.2,15,42930,PACIFICO,NA
1,JUANITA ENRIQUEZ,26B,PUERTO PEÑASCO,2603007499,PESQUERA MERAZ S.A. DE C.V.,SONORA,2607,PUERTO PEÑASCO,MAYORES,AE000008756,11/01/2018,EN LINEA,9999000,ALTAMAR,0,ENERO,2018,03/01/2018,09/01/2018,7,7,NA,NA,1.26E+11,16/02/2016,16/02/2021,OTRAS,4860928H,MERLUZA DESC. Y DESV. FCA.,400,440,10,4000,PACIFICO,NA
1,FELIPE ANGELES,26B,PUERTO PEÑASCO,2607004070,PESQUERA RODOLFO DEL MAR SA DE CV,SONORA,2607,PUERTO PEÑASCO,MAYORES,AE000008784,15/01/2018,EN LINEA,9999000,ALTAMAR,0,ENERO,2018,12/01/2018,13/01/2018,2,2,NA,NA,ESCAMA MARINA,30/10/2017,30/10/2021,OTRAS,4860928H,MERLUZA DESC. Y DESV. FCA.,1765,1941.5,10,17650,PACIFICO,NA
1,CINTHYA SUGEY,26B,PUERTO PEÑASCO,2607603012,BEAN AB SC DE RL DE CV,SONORA,2607,PUERTO PEÑASCO,MAYORES,A0321853,15/01/2018,OFICINA,9999000,ALTAMAR,0,ENERO,2018,08/01/2018,14/01/2018,7,6,NA,NA,1.26E+11,27/11/2015,27/11/2020,OTRAS,4860928H,MERLUZA DESC. Y DESV. FCA.,15000,16500,12,180000,PACIFICO,NA
1,ROMERICK,26B,PUERTO PEÑASCO,2607004088,PESQUERA LUNA HERMANOS SA DE CV,SONORA,2607,PUERTO PEÑASCO,MAYORES,AE000008797,15/01/2018,EN LINEA,9999000,ALTAMAR,0,ENERO,2018,02/01/2018,15/01/2018,14,14,NA,NA,12607012585,22/08/2014,22/08/2019,OTRAS,4860928H,MERLUZA DESC. Y DESV. FCA.,3000,3300,10,30000,PACIFICO,NA
1,ULISES,26B,PUERTO PEÑASCO,2607603012,BEAN AB SC DE RL DE CV,SONORA,2607,PUERTO PEÑASCO,MAYORES,A0321852,14/01/2018,OFICINA,9999000,ALTAMAR,0,ENERO,2018,09/01/2018,13/01/2018,5,4,NA,NA,1.26E+11,23/03/2016,23/03/2020,OTRAS,4860928H,MERLUZA DESC. Y DESV. FCA.,18000,19800,12,216000,PACIFICO,NA
1,PUNTA BAJA IV,26B,PUERTO PEÑASCO,2604007860,PESQUERA MARTINEZ LARA SA DE CV,SONORA,2607,PUERTO PEÑASCO,MAYORES,A0321849,13/01/2018,OFICINA,9999000,ALTAMAR,0,ENERO,2018,07/01/2018,12/01/2018,6,3,NA,NA,1.26E+11,15/02/2016,15/02/2020,OTRAS,4860928H,MERLUZA DESC. Y DESV. FCA.,3000,3300,12,36000,PACIFICO,NA
1,MISTER II,26B,PUERTO PEÑASCO,2607002082,SOCIEDAD COOPERATIVA DE PRODUCCION PESQUERA ESCAMEROS Y CAMARONEROS DE PEÑASCO SCL,SONORA,2607,PUERTO PEÑASCO,MAYORES,A0321761,16/01/2018,OFICINA,9999000,ALTAMAR,0,ENERO,2018,11/01/2018,15/01/2018,5,5,NA,NA,1.26E+11,02/08/2016,02/08/2021,OTRAS,4860928H,MERLUZA DESC. Y DESV. FCA.,200,220,15,3000,PACIFICO,NA
1,ROMERICK,26B,PUERTO PEÑASCO,2607004088,PESQUERA LUNA HERMANOS SA DE CV,SONORA,2607,PUERTO PEÑASCO,MAYORES,A0321871,15/01/2018,OFICINA,9999000,ALTAMAR,0,ENERO,2018,02/01/2018,15/01/2018,14,14,NA,NA,1.26E+11,24/02/2016,24/02/2020,OTRAS,4860928H,MERLUZA DESC. Y DESV. FCA.,500,550,10,5000,PACIFICO,NA
1,DOÑA RAFAELA C.O.,26B,PUERTO PEÑASCO,2607603012,BEAN AB SC DE RL DE CV,SONORA,2607,PUERTO PEÑASCO,MAYORES,A0321855,17/01/2018,OFICINA,9999000,ALTAMAR,0,ENERO,2018,07/01/2018,16/01/2018,10,10,NA,NA,1.26E+11,12/02/2015,12/02/2019,OTRAS,4860928H,MERLUZA DESC. Y DESV. FCA.,9000,9900,12,108000,PACIFICO,NA
1,MARIA ELENA,26B,PUERTO PEÑASCO,2607603012,BEAN AB SC DE RL DE CV,SONORA,2607,PUERTO PEÑASCO,MAYORES,A0321854,17/01/2018,OFICINA,9999000,ALTAMAR,0,ENERO,2018,10/01/2018,16/01/2018,7,5,NA,NA,1.26E+11,10/12/2015,10/12/2020,OTRAS,4860928H,MERLUZA DESC. Y DESV. FCA.,16000,17600,12,192000,PACIFICO,NA
1,CARRANZA I,26B,PUERTO PEÑASCO,2607003304,DALIA EUGENIA MENDEZ MARCIAL,SONORA,2607,PUERTO PEÑASCO,MAYORES,A0321875,17/01/2018,OFICINA,9999000,ALTAMAR,0,FEBRERO,2018,05/01/2018,16/01/2018,12,7,NA,NA,1.26E+11,18/08/2016,18/08/2021,OTRAS,4860928H,MERLUZA DESC. Y DESV. FCA.,2600,2860,12,31200,PACIFICO,NA
1,MACAPULE III,26B,PUERTO PEÑASCO,2603007507,PESQUERA ASTORGA SA DE CV,SONORA,2607,PUERTO PEÑASCO,MAYORES,A0321820,17/01/2018,OFICINA,9999000,ALTAMAR,0,ENERO,2018,03/01/2018,16/01/2018,14,9,NA,NA,1.26E+11,06/12/2016,06/12/2021,OTRAS,4860928H,MERLUZA DESC. Y DESV. FCA.,2730,3003,6,16380,PACIFICO,NA
