term,estimate,std.error,statistic,p.value
yearf2018,0.934150839689182,0.084388395058101,11.06965998163638,4.774432087970339e-28
yearf2019,1.5270463380313744,0.08997661470125713,16.97159137517583,2.695303542206982e-62
yearf2020,0.8296885131527658,0.0704333461883452,11.779768505305753,1.7730429298508578e-31
yearf2021,1.2380298698483476,0.06267630974984993,19.752756261329058,1.0794631775062269e-82
yearf2022,1.5774064159151724,0.046963242790879794,33.58810682940112,2.0383273655075794e-216
yearf2023,1.692874675421761,0.0432619099603874,39.13083534619334,4.41555765246896e-281
yearf2024,2.1384982354851116,0.05769885090462959,37.06309921179946,2.0463611626335296e-256
month,-0.2802805755932118,0.024963647634783974,-11.227548942113453,8.573753893627546e-29
yearf2019:month,-0.0945486345060655,0.029984197429143947,-3.1532821490218184,0.0016272330713205019
yearf2020:month,0.2889664049135865,0.02860260989546923,10.102798519772838,1.0776835615475806e-23
yearf2021:month,0.24717170784193207,0.027907369764242535,8.856861464552313,1.2471231420273897e-18
yearf2022:month,0.2825865912597401,0.02610824784326538,10.823652087117493,6.629451653600527e-27
yearf2023:month,0.26910111728797537,0.02606058368440757,10.325981971347115,1.1487636232666712e-24
yearf2024:month,0.16544053194266423,0.02941337602940898,5.624669938508535,1.9946560069381576e-8
