age n madurez peso fecundidad
0 0 0.000 0.017 0.000
1 122 0.000 0.094 0.000
2 276 0.261 0.257 0.067
3 348 0.839 0.383 0.321
4 333 0.961 0.485 0.466
5 299 0.920 0.532 0.490
6 221 0.928 0.581 0.539
7 81 0.926 0.646 0.598
8 70 0.957 0.712 0.681
9 36 0.944 0.769 0.726
10 51 0.980 0.854 0.837
11 26 0.962 0.925 0.890
12 18 1.000 0.964 0.964
13 24 0.958 1.060 1.015
14 22 0.955 1.003 0.958
15 8 0.900 1.031 0.928
16 9 0.900 1.031 0.928
17 2 0.900 1.031 0.928
18 1 0.900 1.031 0.928
19  0 0.900 1.031 0.928
20 0 0.900 1.031 0.928
